picocom v3.2a

port is        : /dev/tty.usbmodem103
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : /nix/store/qsx6i1q4h7cq5kg1pjmis5q57nskh70f-lrzsz-0.12.20/bin/sz -vv
receive_cmd is : /nix/store/qsx6i1q4h7cq5kg1pjmis5q57nskh70f-lrzsz-0.12.20/bin/rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  826, time steps =   10, qsz =    2, switch = off. t =    16708 ms. I_w =   1173 mA, erpm =        0, ax =      532, ay =      163, az =     9829, gx = 0.00878 rad/s, theta =       25 mrad, theta_d =       -9 mrad, x =        0, x_d =        0
msg =  827, time steps =   10, qsz =    2, switch = off. t =    16728 ms. I_w =   1168 mA, erpm =        0, ax =      517, ay =      187, az =     9847, gx = 0.00878 rad/s, theta =       25 mrad, theta_d =       -9 mrad, x =        0, x_d =        0
msg =  828, time steps =   10, qsz =    2, switch = off. t =    16748 ms. I_w =   1160 mA, erpm =        0, ax =      551, ay =      201, az =     9871, gx = 0.00985 rad/s, theta =       25 mrad, theta_d =       -9 mrad, x =        0, x_d =        0
msg =  829, time steps =   10, qsz =    2, switch = off. t =    16768 ms. I_w =   1144 mA, erpm =        0, ax =      561, ay =      215, az =     9833, gx = 0.01198 rad/s, theta =       25 mrad, theta_d =       -9 mrad, x =        0, x_d =        0
msg =  830, time steps =   10, qsz =    2, switch = off. t =    16788 ms. I_w =   1122 mA, erpm =        0, ax =      565, ay =      230, az =     9833, gx = 0.01411 rad/s, theta =       25 mrad, theta_d =      -10 mrad, x =        0, x_d =        0
msg =  831, time steps =   10, qsz =    2, switch = off. t =    16809 ms. I_w =   1096 mA, erpm =        0, ax =      565, ay =      230, az =     9857, gx = 0.01624 rad/s, theta =       24 mrad, theta_d =      -11 mrad, x =        0, x_d =        0
msg =  832, time steps =   10, qsz =    2, switch = off. t =    16829 ms. I_w =   1066 mA, erpm =        0, ax =      493, ay =      239, az =     9819, gx = 0.01730 rad/s, theta =       24 mrad, theta_d =      -12 mrad, x =        0, x_d =        0
msg =  833, time steps =   10, qsz =    2, switch = off. t =    16849 ms. I_w =   1037 mA, erpm =        0, ax =      474, ay =      239, az =     9801, gx = 0.01730 rad/s, theta =       24 mrad, theta_d =      -12 mrad, x =        0, x_d =        0
msg =  834, time steps =   10, qsz =    2, switch = off. t =    16869 ms. I_w =   1012 mA, erpm =        0, ax =      469, ay =      234, az =     9833, gx = 0.01624 rad/s, theta =       23 mrad, theta_d =      -13 mrad, x =        0, x_d =        0
msg =  835, time steps =   10, qsz =    2, switch = off. t =    16889 ms. I_w =    991 mA, erpm =        0, ax =      517, ay =      282, az =     9852, gx = 0.01411 rad/s, theta =       23 mrad, theta_d =      -13 mrad, x =        0, x_d =        0
msg =  836, time steps =   10, qsz =    2, switch = off. t =    16910 ms. I_w =    981 mA, erpm =        0, ax =      503, ay =      287, az =     9824, gx = 0.01091 rad/s, theta =       23 mrad, theta_d =      -13 mrad, x =        0, x_d =        0
msg =  837, time steps =   10, qsz =    2, switch = off. t =    16930 ms. I_w =    984 mA, erpm =        0, ax =      469, ay =      297, az =     9843, gx = 0.00772 rad/s, theta =       23 mrad, theta_d =      -12 mrad, x =        0, x_d =        0
msg =  838, time steps =   10, qsz =    2, switch = off. t =    16950 ms. I_w =    999 mA, erpm =        0, ax =      474, ay =      287, az =     9861, gx = 0.00346 rad/s, theta =       22 mrad, theta_d =      -11 mrad, x =        0, x_d =        0
