picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready

hiiii we are started :3

msg =    0, time steps =    0, qsz =    0, switch = off, t =        2 ms, ax =  0.0000, ay =  0.0000, az =  0.0000, gx =  0.0000 rad/s, gy =  0.0000 rad/s, gz =  0.0000 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -58.4279 A, theta_roll_comp =  0.0000 mrad, theta_setpoint = -367.6851 mrad, 
msg =    1, time steps =    9, qsz =    2, switch = off, t =       22 ms, ax =  0.5274, ay = -0.4291, az =  9.9135, gx = -0.0002 rad/s, gy =  0.0015 rad/s, gz =  0.0028 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.3164 A, theta_roll_comp = -0.2742 mrad, theta_setpoint = -40.0000 mrad, 
msg =    2, time steps =   10, qsz =    2, switch = off, t =       42 ms, ax =  0.5658, ay = -0.4148, az =  9.9411, gx = -0.0002 rad/s, gy =  0.0012 rad/s, gz = -0.0063 rad/s, erpm_pitch =    0, erpm_roll =    0, I_w_pitch = -0.0000 A, I_w_roll = -6.1775 A, theta_roll_comp = -1.1425 mrad, theta_setpoint = -40.0000 mrad, 
msg =    3, time steps =   10, qsz =    2, switch = off, t =       62 ms, ax =  0.6126, ay = -0.4100, az =  9.9303, gx = -0.0014 rad/s, gy =  0.0006 rad/s, gz = -0.0085 rad/s, erpm_pitch =    0, erpm_roll = -7371, I_w_pitch = -0.0000 A, I_w_roll = -38.8391 A, theta_roll_comp = -1.9421 mrad, theta_setpoint = -246.2829 mrad, 
msg =    4, time steps =   10, qsz =    2, switch = off, t =       82 ms, ax =  0.6341, ay = -0.4232, az =  9.9087, gx = -0.0030 rad/s, gy =  0.0008 rad/s, gz = -0.0007 rad/s, erpm_pitch =    0, erpm_roll = -7371, I_w_pitch = -0.0000 A, I_w_roll = -38.4168 A, theta_roll_comp = -2.7839 mrad, theta_setpoint = -246.2829 mrad, 
msg =    5, time steps =   10, qsz =    2, switch = off, t =      102 ms, ax =  0.5862, ay = -0.4279, az =  9.9171, gx = -0.0042 rad/s, gy =  0.0015 rad/s, gz =  0.0077 rad/s, erpm_pitch =    0, erpm_roll = -7338, I_w_pitch = -0.0000 A, I_w_roll = -37.9209 A, theta_roll_comp = -3.6116 mrad, theta_setpoint = -245.3594 mrad, 
msg =    6, time steps =   10, qsz =    2, switch = off, t =      122 ms, ax =  0.6066, ay = -0.3800, az =  9.9399, gx = -0.0054 rad/s, gy =  0.0016 rad/s, gz =  0.0088 rad/s, erpm_pitch =    0, erpm_roll = -7322, I_w_pitch = -0.0000 A, I_w_roll = -37.5009 A, theta_roll_comp = -4.4404 mrad, theta_setpoint = -244.9116 mrad, 
msg =    7, time steps =   10, qsz =    2, switch = off, t =      142 ms, ax =  0.5682, ay = -0.4016, az =  9.9315, gx = -0.0065 rad/s, gy =  0.0012 rad/s, gz =  0.0037 rad/s, erpm_pitch =    0, erpm_roll = -7322, I_w_pitch = -0.0000 A, I_w_roll = -37.1735 A, theta_roll_comp = -5.2884 mrad, theta_setpoint = -244.9116 mrad, 
msg =    8, time steps =   10, qsz =    2, switch = off, t =      162 ms, ax =  0.6449, ay = -0.4291, az =  9.9387, gx = -0.0065 rad/s, gy =  0.0014 rad/s, gz = -0.0048 rad/s, erpm_pitch =    0, erpm_roll = -7290, I_w_pitch = -0.0000 A, I_w_roll = -36.8903 A, theta_roll_comp = -6.1631 mrad, theta_setpoint = -244.0161 mrad, 
msg =    9, time steps =   10, qsz =    2, switch = off, t =      182 ms, ax =  0.6078, ay = -0.4303, az =  9.9351, gx = -0.0062 rad/s, gy =  0.0015 rad/s, gz = -0.0079 rad/s, erpm_pitch =    0, erpm_roll = -7290, I_w_pitch = -0.0000 A, I_w_roll = -36.7989 A, theta_roll_comp = -7.0339 mrad, theta_setpoint = -244.0161 mrad, 
msg =   10, time steps =   10, qsz =    2, switch = off, t =      202 ms, ax =  0.5562, ay = -0.4220, az =  9.9231, gx = -0.0069 rad/s, gy =  0.0016 rad/s, gz = -0.0017 rad/s, erpm_pitch =    0, erpm_roll = -7257, I_w_pitch = -0.0000 A, I_w_roll = -36.3943 A, theta_roll_comp = -7.8899 mrad, theta_setpoint = -243.0925 mrad, 
